Time,[LVCT]:Pos_TokWh,Neg_TotKWh,Psum,Qsum,Vabc,Iabc,[PWCB]:Pos_TotKWh,Neg_TotKWh,Psum,Qsum,Vabc,Iabc,[BatRack]:BmsIdx,Status,Alm,SOC,SOH,Lmt_Chg_V,Lmt_Dischg_V,Max_Chg_A,Max_Dischg_A,PackV,PackA,[PCS]:VdcSet,IdcSet,VdcOut,IdcOut,Prate,Irate,Imax,ModeSet,Run_Mode,PacSet,QacSet,VrlyOut,PacOut,QacOut,PCS_Tmax,[MPPT]:Status,Vout/Iout,[PCU]:Psum#Rate/Req/Out,EVSE:Iout|VReq|Ireq[0],[1],[2],[3],[4],[5],PM:SelfID|State|HostID|NorthID|Vout|Iout|Vctrl|Ictrl[0],[1],[2],[3],[4],[5],[CELL]:Max_CSC_V,Max_CELL_V,Min_CSC_V,Min_CELL_V,MaxCell_V,MinCell_V,Avg_Cell_V,Max_Cell_T,Min_Cell_T,Avg_Cell_T,BAT_T_Max_CSC,BAT_T_Min_CSC,BAT_T_Max_CELL,BAT_T_Min_CELL,DC+_Res,DC-_Res,Chrg_KWh,DisChrg_KWh,Vout_rly,Vbus_Neg,Bat_State,Fault,Alm,DIDO,[HVAC]:Off:0 ON:1|Mode|Stage,Err,TSet_Cold/TSet_Heat,Twater_PM/TwaterBat/Tenv/Tdst,Toutput_PM,Tinput_PM,Tinput_BAT,Toutput_BAT,SetPower:Batt|PM,PumpDuty:PM|Batt|Fan,T_Exhaust|T_Inhale,HighPre|LowPre,nHz_Sys1_Run,nPLS,OutPre:Batt|PM,[PC]:Tmax/Pauxload/P_EMS,[EMS]:PsumCalc_PCS4BMS_Chrg,PsumCalc_BMS4PCS_Dischg,PsumRT_acload4Dischg,PavgRT_acload4Dischg,PsumRT_acload4CalcAntiOverload,[AC]PsumRT_ChgAvail,[AC]PavgRT_ChgAvail,[AC]PremainRT_ChgAvail,[AC]PsumReq_Dischg4ACLoad,[AC]PavgReq_Dischg4ACLoad,[AC]PremainReq_Dischg4ACLoad,PsumSet_ACInputLmt,[DC]PsumReq_DCDC,[AC]Pbms_Allocate2PCS,[DC]Pbms_Allocate2DCDC,[AC]Pallocate_ACSys2bmsChg,ACBus:[AC]PavgAllocate_BMSChg,[AC]PavgAllocate_BMSDischg,[ABU]#111X,G1#1111X,G1#2111X,G1#3111X,G1#4111X,G1#5111X,G1#6111X,G2#1111X,G2#2111X,G2#3111X,G2#4111X,G2#5111X,G2#6111X,Trig_Evt:ID,Val,
00:02:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,6,3,12,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|25|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:02:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,16,1,14,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:02:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,6,3,12,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009001700,0|3|0,0,28|15,0|0|25|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:02:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,14,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,637,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:02:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,6,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:02:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,36,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,637,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,6,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|25|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,16,1,14,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,637,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,4,9,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,3,38,1,6,3.332,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,4,9,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|25|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:03:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,16,1,6,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019005700,0|3|0,0,28|15,0|0|25|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,29,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,32|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,2,23,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,14,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,6,3,12,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:04:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,6,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E019005700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:05:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009001700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:05:00,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,22,1,14,3.331,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,638,320,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:05:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,7,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|25|28,26,26,26,25,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:05:20,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,1,Idle,0,98,100,689,566,295,295,638,0,0,0,639,0,35,43,116,255,0,0,0,639,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,3,38,1,14,3.332,3.329,3.330,25,22,23,4,1,0,0,3000,1792,2,165,637,320,3,0000000000000000,0000000000000000000000000000,83E755E009005700,0|3|0,0,28|15,0|0|24|28,25,26,26,25,0|0,0|0|0,25|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
00:05:40,,,,,,,17185.7,5.8,0,0,233|234|234,1|1|1,0,Idle,0,98,100,689,566,295,295,637,0,0,0,638,0,35,43,116,255,0,0,0,638,0,0,32,,,200|6|0,[0]:0|0|0,[1]:0|0|0,[2]:0|0|0,[3]:0|0|0,[4]:0|0|0,[5]:0|0|0,[0]:1|0|1|255|0|0|100|1,[1]:2|0|2|255|0|0|100|1,[2]:3|0|3|255|0|0|100|1,[3]:4|0|4|255|0|0|100|1,[4]:5|0|5|255|0|0|100|1,[5]:6|0|6|255|0|0|100|1,1,12,2,26,3.330,3.327,3.328,26,22,24,4,1,0,0,3000,1694,2,167,637,321,3,0000000000000000,0000000000000000000000000000,83E755E019001700,0|3|0,0,28|15,0|0|26|28,26,26,26,26,0|0,0|0|0,26|27,5|5,0,0,0.0|0.0,33|0|0.0,0,70,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,41800000,0041800300000000,0041800300000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0.0,
